duration,distance,max_heart_rate,effort,pace,speed_m_s,cluster
3880,9.739999999999998,181.0,81.0,6.639288158795347,2.510309278350515,0
3795,9.86,171.0,32.0,6.414807302231238,2.598155467720685,0
4563,11.06,162.0,21.0,6.876130198915009,2.423843962305501,1
4161,10.12,165.0,22.0,6.852766798418973,2.4321076664263397,1
3904,10.04,159.0,18.0,6.480743691899071,2.57172131147541,0
2724,7.52,160.0,20.0,6.037234042553192,2.76064610866373,0
3885,9.84,168.0,41.0,6.580284552845528,2.5328185328185326,0
3954,9.93,166.0,19.0,6.636455186304129,2.511380880121396,0
4195,10.35,165.0,23.0,6.75523349436393,2.467222884386174,1
4085,9.96,158.0,21.0,6.835676037483266,2.438188494492044,1
4196,10.12,153.0,18.0,6.910408432147563,2.411820781696854,1
4063,10.0,155.0,19.0,6.7716666666666665,2.461235540241201,1
3992,10.08,159.0,17.0,6.6005291005291005,2.5250501002004007,0
4061,9.8,160.0,16.0,6.906462585034014,2.41319871952721,1
4199,10.0,162.0,17.0,6.998333333333333,2.3815194093831864,1
4103,10.11,150.0,16.0,6.763930102209035,2.464050694613697,1
3946,10.09,154.0,65.0,6.518004625041295,2.557019766852509,0
3814,9.64,165.0,23.0,6.594052558782849,2.527530152071316,0
3840,9.68,225.0,65.0,6.6115702479338845,2.5208333333333335,3
3945,9.99,159.0,26.0,6.581581581581581,2.532319391634981,0
4083,9.86,186.0,23.0,6.901622718052739,2.414891011511144,1
4028,9.98,157.0,16.0,6.726786907147629,2.477656405163853,1
3827,9.91,163.0,24.0,6.436259670366633,2.589495688528874,0
3921,9.77,168.0,21.0,6.688843398157625,2.49171129813823,0
3944,9.97,156.0,20.0,6.5931126713473756,2.5278904665314403,0
4056,9.99,158.0,17.0,6.766766766766766,2.46301775147929,1
4377,10.34,156.0,62.0,7.055125725338492,2.36234864062143,1
4263,10.5,154.0,17.0,6.766666666666667,2.4630541871921183,1
4092,10.09,156.0,18.0,6.759167492566898,2.4657869012707723,1
3837,9.75,168.0,27.0,6.55897435897436,2.541047693510555,0
4011,10.11,167.0,69.0,6.612265084075173,2.5205684367988033,0
4305,10.47,165.0,22.0,6.852913085004775,2.43205574912892,1
3948,9.96,164.0,17.0,6.6064257028112445,2.522796352583587,0
3901,10.06,168.0,22.0,6.462889330682571,2.578825942066137,0
3892,9.95,168.0,66.0,6.519262981574539,2.5565262076053443,0
4001,9.75,164.0,19.0,6.83931623931624,2.4368907773056736,1
4154,10.17,157.0,20.0,6.807604064241232,2.4482426576793452,1
4184,10.66,173.0,42.0,6.541588492808005,2.5478011472275335,0
4016,10.1,170.0,22.0,6.627062706270627,2.514940239043825,0
3908,10.02,161.0,19.0,6.500332667997339,2.563971340839304,0
3740,9.69,174.0,32.0,6.432748538011697,2.590909090909091,0
3964,10.12,161.0,23.0,6.52832674571805,2.5529767911200807,0
4013,10.19,159.0,20.0,6.5636244684331055,2.5392474458011463,0
3948,10.09,147.0,15.0,6.521308225966303,2.555724417426545,0
3773,9.95,160.0,17.0,6.319932998324958,2.6371587596077393,0
3688,9.98,164.0,35.0,6.158984635938544,2.7060737527114966,0
3824,9.85,161.0,61.0,6.470389170896786,2.575836820083682,0
3895,9.739999999999998,160.0,16.0,6.66495550992471,2.500641848523748,0
3932,9.78,159.0,17.0,6.700749829584185,2.4872838250254325,0
3815,9.8,158.0,20.0,6.488095238095238,2.5688073394495414,0
4100,10.93,164.0,21.0,6.251906068923452,2.6658536585365855,0
4044,10.43,166.0,30.0,6.462128475551295,2.5791295746785363,0
3695,9.8,175.0,72.0,6.284013605442176,2.6522327469553453,0
3847,10.09,161.0,24.0,6.354476379253386,2.6228229789446322,0
4029,10.61,168.0,46.0,6.328934967012254,2.633407793497146,0
4140,10.48,165.0,36.0,6.583969465648854,2.531400966183575,0
3889,9.84,166.0,20.0,6.5870596205962055,2.5302134224736434,0
3908,9.96,165.0,22.0,6.539491298527444,2.5486182190378712,0
3923,9.94,158.0,20.0,6.577800134138164,2.5337751720621973,0
3955,9.96,164.0,20.0,6.6181392235609104,2.518331226295828,0
4040,10.06,159.0,65.0,6.693174287607686,2.49009900990099,0
3768,9.92,150.0,15.0,6.330645161290322,2.632696390658174,0
4025,9.75,151.0,15.0,6.88034188034188,2.422360248447205,1
3596,9.94,161.0,22.0,6.029510395707579,2.764182424916574,0
3977,9.77,147.0,15.0,6.784373933810986,2.4566255971838067,1
3933,9.87,168.0,18.0,6.641337386018237,2.509534706331045,0
