rep,Activity ID,Activity Date,Activity Name,sport,Activity Description,duration,distance,Max Heart Rate...8,relative_effort,Commute...10,Activity Gear,Athlete Weight,Bike Weight,Elapsed Time...15,Moving Time,Distance...17,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Average Cadence,Max Cadence,Max Heart Rate...30,Average Heart Rate,Max Watts,Calories,Max Temperature,Average Temperature,Relative Effort...37,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute...48,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,duration_mins,relative_effort_min,year
1,770894069,"Nov 9, 2016, 4:26:13 PM",Shore Hotel Santa Monica - Pacific Palisades,Run,Via RunGap,3880,9.739999999999998,181,81,FALSE,NA,64.5800018310547,NA,3880,3809,9741,4.40000009536743,NA,16.8409099578857,NA,1.89999997615814,19.3999996185303,19,0.0266913045197725,NA,NA,78.5163116455078,138,181,156.504257202148,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.66666666666667,1.2525773195876289,2016
2,770894104,"Nov 8, 2016, 3:43:45 PM",Shore Hotel Santa Monica - Pacific Palisades,Run,Via RunGap,3795,9.860000000000001,171,32,FALSE,NA,64.5800018310547,NA,3795,3721,9868,4,NA,16.9004554748535,NA,1.89999997615814,19.3999996185303,16.3999996185303,0.061815969645977,NA,NA,78.7415542602539,101,171,146.702087402344,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.25,0.5059288537549407,2016
3,770894156,"Nov 7, 2016, 4:57:40 PM",Santa Barbara - Montecito,Run,Via RunGap,4563,11.06,162,21,FALSE,NA,64.5800018310547,NA,4563,4221,11066.900390625,13.8000001907349,NA,17.300952911377,NA,1.29999995231628,19.2999992370605,11.5,0.0406617932021618,NA,NA,77.286376953125,90,162,139.558288574219,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.05,0.27613412228796846,2016
4,770894204,"Nov 6, 2016, 1:13:07 PM",Santa Barbara - Montecito,Run,Via RunGap,4161,10.12,165,22,FALSE,NA,64.5800018310547,NA,4161,4139,10123.900390625,4.19999980926514,NA,17.4382247924805,NA,1.29999995231628,19.2000007629395,11,9.8776165395975e-4,NA,NA,78.3783493041992,95,165,139.607238769531,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.35,0.31723143475126175,2016
5,770894234,"Nov 3, 2016, 10:11:08 PM",Swimming,Swim,Via RunGap,1964,1783,NA,NA,FALSE,NA,64.5800018310547,NA,1964,1964,1783,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.733333333333334,NA,2016
6,770894238,"Nov 4, 2016, 4:17:42 PM",Santa Barbara - Montecito,Run,Via RunGap,3904,10.04,159,18,FALSE,NA,64.5800018310547,NA,3904,3904,10048.099609375,4.59999990463257,NA,17.5450000762939,NA,1,19.2000007629395,11.6000003814697,-0.00398085219785571,NA,NA,78.7625045776367,94,159,137.936279296875,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.06666666666666,0.2766393442622951,2016
7,770894274,"Nov 3, 2016, 12:52:42 PM",Holiday Inn Express Denver Int L Airport - Friendly Village,Run,Via RunGap,2724,7.52,160,20,FALSE,NA,64.5800018310547,NA,2724,2702,7519.7998046875,4.90000009536743,NA,16.6912689208984,NA,1621.69995117188,1639.59997558594,8.10000038146973,0.00132982258219272,NA,NA,81.2564086914063,92,160,144.403945922852,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,0.4405286343612335,2016
8,770894303,"Nov 1, 2016, 10:17:51 PM",Swimming,Swim,Via RunGap,2209,1303,NA,NA,FALSE,NA,64.5800018310547,NA,2209,2209,1303,4.59999990463257,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.81666666666667,NA,2016
9,770894343,"Nov 2, 2016, 4:43:13 PM",Balboa Building - Montecito,Run,Via RunGap,3885,9.84,168,41,FALSE,NA,64.5800018310547,NA,3885,3755,9843.900390625,4.90000009536743,NA,12.584210395813,NA,1.70000004768372,14.6000003814697,12.3999996185303,0.00203171512112021,NA,NA,79.1632308959961,92,168,148.13801574707,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.75,0.6332046332046332,2016
10,770894397,"Nov 1, 2016, 4:06:05 PM",Balboa Building - Montecito,Run,Via RunGap,3954,9.93,166,19,FALSE,NA,64.5800018310547,NA,3954,3909,9932.900390625,6.59999990463257,NA,12.7937202453613,NA,1.5,14.6999998092651,11.5,0.0010067552793771,NA,NA,78.368293762207,97,166,137.627456665039,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.9,0.28831562974203334,2016
11,770894435,"Oct 31, 2016, 5:28:47 PM",Balboa Building - Montecito,Run,Via RunGap,4195,10.350000000000001,165,23,FALSE,NA,64.5800018310547,NA,4195,4015,10351,5.90000009536743,NA,12.4637680053711,NA,1.39999997615814,14.5,11.3000001907349,0.00289827072992921,NA,NA,78.6162490844727,93,165,141.128601074219,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.91666666666667,0.32896305125148984,2016
